MolName	MolCounts
EG10167-MONOMER[i]	125
EG10168-MONOMER[i]	98
EG10169-MONOMER[i]	138
EG10201-MONOMER[i]	723
EG10202-MONOMER[p]	131
EG10203-MONOMER[i]	342
EG10204-MONOMER[c]	45
EG10210-MONOMER[c]	52
EG10211-MONOMER[c]	96
EG10212-MONOMER[c]	590
EG10215-MONOMER[c]	729
EG10216-MONOMER[i]	90
EG10218-MONOMER[i]	124
EG10226-MONOMER[c]	1000
EG10227-MONOMER[c]	5
EG10228-MONOMER[c]	2
EG10229-MONOMER[c]	74
EG10230-MONOMER[c]	4133
EG10236-MONOMER[c]	1
EG10237-MONOMER[c]	79
EG10238-MONOMER[c]	0
EG10239-MONOMER[c]	33
EG10240-MONOMER[c]	1
EG10241-MONOMER[c]	4762
EG10242-MONOMER[c]	1
EG10243-MONOMER[c]	249
EG10244-MONOMER[c]	1
EG10246-MONOMER[e]	318
EG10252-MONOMER[c]	4
EG10253-MONOMER[c]	2
EG10255-MONOMER[p]	1
EG10266-MONOMER[i]	2
EG10270-MONOMER[c]	502
EG10271-MONOMER[i]	2611
EG10272-MONOMER[i]	688
EG10280-MONOMER[o]	349
EG10284-MONOMER[c]	1
EG10286-MONOMER[e]	0
EG10292-MONOMER[p]	289
EG10293-MONOMER[e]	3727
EG10297-MONOMER[i]	38
EG10299-MONOMER[c]	1223
EG10300-MONOMER[c]	548
EG10302-MONOMER[e]	824
EG10306-MONOMER[e]	737
EG10307-MONOMER[c]	85
EG10308-MONOMER[s]	17718
EG10309-MONOMER[c]	341
EG10310-MONOMER[p]	349
EG10311-MONOMER[e]	0
EG10312-MONOMER[c]	12
EG10313-MONOMER[s]	10
EG10314-MONOMER[s]	4
EG10315-MONOMER[s]	0
EG10320-MONOMER[c]	1
EG10321-MONOMER[s]	23942
EG10322-MONOMER[s]	1324
EG10329-MONOMER[c]	25
EG10335-MONOMER[c]	3777
EG10339-MONOMER[c]	100
EG10341-MONOMER[i]	49
EG10342-MONOMER[i]	52
EG10343-MONOMER[c]	219
EG10344-MONOMER[i]	53
EG10346-MONOMER[i]	277
EG10347-MONOMER[p]	1752
EG10355-MONOMER[c]	0
EG10360-MONOMER[c]	8661
EG10370-MONOMER[c]	423
EG10373-MONOMER[i]	26
EG10374-MONOMER[p]	72
EG10375-MONOMER[c]	0
EG10376-MONOMER[c]	223
EG10381-MONOMER[c]	52
EG10395-MONOMER[c]	0
EG10397-MONOMER[i]	91
EG10415-MONOMER[c]	1000
EG10416-MONOMER[c]	1
EG10423-MONOMER[c]	131
EG10424-MONOMER[c]	0
EG10426-MONOMER[c]	93
EG10434-MONOMER[i]	173
EG10435-MONOMER[i]	24
EG10436-MONOMER[i]	0
EG10437-MONOMER[c]	11
EG10438-MONOMER[c]	4
EG10439-MONOMER[c]	2334
EG10442-MONOMER[c]	1
EG10443-MONOMER[c]	4
EG10454-MONOMER[c]	1
EG10455-MONOMER[e]	1
EG10456-MONOMER[c]	211
EG10458-MONOMER[c]	96
EG10459-MONOMER[c]	1
EG10460-MONOMER[c]	37
EG10461-MONOMER[i]	0
EG10462-MONOMER[i]	630
EG10463-MONOMER[i]	3
EG10466-MONOMER[c]	20985
EG10467-MONOMER[c]	0
EG10471-MONOMER[c]	10
EG10472-MONOMER[c]	8
EG10473-MONOMER[c]	13
EG10474-MONOMER[c]	1
EG10481-MONOMER[c]	51
EG10483-MONOMER[i]	20
EG10484-MONOMER[c]	0
EG10485-MONOMER[c]	0
EG10486-MONOMER[c]	27
EG10487-MONOMER[c]	20
EG10488-MONOMER[e]	51
EG10490-MONOMER[c]	0
EG10504-MONOMER[c]	11043
EG10505-MONOMER[c]	1394
EG10506-MONOMER[c]	3525
EG10507-MONOMER[c]	14
EG10513-MONOMER[i]	0
EG10515-MONOMER[i]	19
EG10523-MONOMER[c]	804
EG10528-MONOMER[e]	2
EG10529-MONOMER[c]	689
EG10530-MONOMER[i]	224
EG10534-MONOMER[c]	166
EG10535-MONOMER[i]	42
EG10542-MONOMER[c]	0
EG10544-MONOMER[o]	180294
EG10548-MONOMER[i]	106
EG10559-MONOMER[p]	84
EG10564-MONOMER[c]	1
EG10570-MONOMER[c]	2116
EG10571-MONOMER[c]	1
EG10572-MONOMER[c]	1
EG10573-MONOMER[c]	33
EG10574-MONOMER[c]	91
EG10575-MONOMER[c]	0
EG10580-MONOMER[p]	0
EG10595-MONOMER[c]	65
EG10596-MONOMER[c]	1
EG10597-MONOMER[i]	1360
EG10598-MONOMER[c]	830
EG10599-MONOMER[c]	706
EG10600-MONOMER[c]	6
EG10603-MONOMER[c]	1
EG10605-MONOMER[i]	0
EG10606-MONOMER[i]	38
EG10607-MONOMER[i]	36
EG10608-MONOMER[c]	1378
EG10609-MONOMER[i]	70
EG10610-MONOMER[i]	45
EG10611-MONOMER[c]	533
EG10612-MONOMER[c]	81
EG10613-MONOMER[i]	0
EG10618-MONOMER[c]	0
EG10624-MONOMER[c]	16
EG10625-MONOMER[c]	126
EG10626-MONOMER[c]	85
EG10627-MONOMER[c]	79
EG10634-MONOMER[c]	593
EG10651-MONOMER[c]	452
EG10656-MONOMER[c]	126
EG10657-MONOMER[p]	859
EG10658-MONOMER[e]	137
EG10659-MONOMER[c]	1971
EG10662-MONOMER[i]	83
EG10665-MONOMER[c]	929
EG10666-MONOMER[c]	0
EG10667-MONOMER[c]	1231
EG10668-MONOMER[c]	77
EG10669-MONOMER[i]	70874
EG10670-MONOMER[e]	2
EG10671-MONOMER[e]	1
EG10673-MONOMER[o]	32934
EG10679-MONOMER[o]	91
EG10680-MONOMER[c]	1
EG10684-MONOMER[e]	16477
EG10686-MONOMER[i]	0
EG10687-MONOMER[c]	146
EG10689-MONOMER[c]	104
EG10690-MONOMER[c]	381
EG10694-MONOMER[c]	4
EG10695-MONOMER[c]	0
EG10696-MONOMER[i]	663
EG10697-MONOMER[c]	0
EG10698-MONOMER[c]	1
EG10711-MONOMER[c]	739
EG10712-MONOMER[c]	62
EG10715-MONOMER[c]	2
EG10716-MONOMER[c]	0
EG10717-MONOMER[c]	1
EG10718-MONOMER[c]	1
EG10719-MONOMER[c]	0
EG10722-MONOMER[c]	9
EG10723-MONOMER[c]	11
EG10724-MONOMER[c]	31
EG10725-MONOMER[c]	1
EG10735-MONOMER[i]	1
EG10736-MONOMER[c]	13
EG10737-MONOMER[c]	0
EG10739-MONOMER[i]	27
EG10741-MONOMER[c]	533
EG10743-MONOMER[c]	2
EG10746-MONOMER[c]	373
EG10747-MONOMER[c]	12
EG10748-MONOMER[i]	0
EG10757-MONOMER[p]	894
EG10758-MONOMER[c]	7841
EG10760-MONOMER[p]	418
EG10761-MONOMER[c]	222
EG10762-MONOMER[c]	1685
EG10763-MONOMER[c]	0
EG10764-MONOMER[c]	1
EG10765-MONOMER[c]	18
EG10776-MONOMER[c]	767
EG10777-MONOMER[i]	66
EG10778-MONOMER[i]	0
EG10779-MONOMER[c]	28
EG10780-MONOMER[p]	536
EG10785-MONOMER[c]	180
EG10786-MONOMER[p]	58
EG10812-MONOMER[c]	147
EG10813-MONOMER[c]	7
EG10817-MONOMER[c]	7
EG10823-MONOMER[c]	1999
EG10824-MONOMER[c]	0
EG10825-MONOMER[c]	21
EG10826-MONOMER[c]	17
EG10827-MONOMER[c]	17
EG10828-MONOMER[c]	0
EG10829-MONOMER[c]	22
EG10830-MONOMER[c]	73
EG10831-MONOMER[c]	57
EG10832-MONOMER[c]	0
EG10833-MONOMER[c]	28
EG10834-MONOMER[c]	201
EG10836-MONOMER[c]	1
EG10837-MONOMER[c]	1
EG10838-MONOMER[c]	1
EG10839-MONOMER[c]	79
EG10841-MONOMER[s]	2320
EG10844-MONOMER[c]	0
EG10845-MONOMER[c]	3
EG10846-MONOMER[o]	19
EG10847-MONOMER[o]	13
EG10848-MONOMER[c]	7
EG10849-MONOMER[o]	0
EG10850-MONOMER[c]	101
EG10851-MONOMER[c]	210
EG10852-MONOMER[c]	2
EG10853-MONOMER[c]	120
EG10854-MONOMER[o]	474
EG10855-MONOMER[e]	0
EG10856-MONOMER[p]	652
EG10857-MONOMER[c]	581
EG10858-MONOMER[c]	5
EG10859-MONOMER[i]	953
EG10860-MONOMER[c]	228
EG10861-MONOMER[c]	105
EG10862-MONOMER[c]	187
EG10863-MONOMER[c]	0
EG10864-MONOMER[c]	1452
EG10865-MONOMER[c]	1444
EG10866-MONOMER[c]	1357
EG10867-MONOMER[c]	1500
EG10868-MONOMER[c]	1493
EG10869-MONOMER[c]	1445
EG10870-MONOMER[c]	1313
EG10871-MONOMER[c]	233
EG10872-MONOMER[c]	1409
EG10873-MONOMER[c]	0
EG10874-MONOMER[c]	1580
EG10875-MONOMER[c]	1341
EG10876-MONOMER[c]	1196
EG10877-MONOMER[c]	1470
EG10878-MONOMER[c]	1464
EG10879-MONOMER[c]	1548
EG10880-MONOMER[c]	1518
EG10881-MONOMER[c]	1566
EG10882-MONOMER[c]	1143
EG10883-MONOMER[c]	1504
EG10884-MONOMER[c]	1746
EG10885-MONOMER[c]	4650
EG10886-MONOMER[c]	1339
EG10887-MONOMER[c]	1608
EG10888-MONOMER[c]	1184
EG10889-MONOMER[c]	1594
EG10890-MONOMER[c]	23305
EG10891-MONOMER[c]	1411
EG10892-MONOMER[c]	1402
EG10893-MONOMER[c]	45
EG10899-MONOMER[c]	3366
EG10900-MONOMER[c]	2028
EG10901-MONOMER[c]	2064
EG10902-MONOMER[c]	1906
EG10903-MONOMER[c]	1950
EG10904-MONOMER[c]	2000
EG10905-MONOMER[c]	3624
EG10906-MONOMER[c]	2160
EG10907-MONOMER[c]	1962
