MolName	MolCounts
EG10405_RNA__alpha	1
EG10406_RNA__alpha	1
EG10407_RNA__CPLX0-7705	0
EG10407_RNA__alpha	1
EG10408_RNA__alpha	1
EG10409_RNA__alpha	1
EG10410_RNA__alpha	1
EG10411_RNA__alpha	1
EG10412_RNA__alpha	1
EG10413_RNA__alpha	1
EG10414_RNA__alpha	1
EG10415_RNA__alpha	1
EG10416_RNA__alpha	1
EG10417_RNA__alpha	1
EG10418_RNA__alpha	1
EG10419_RNA__alpha	1
EG10420_RNA__alpha	1
EG10421_RNA__CPLX0-7705	0
EG10421_RNA__alpha	1
EG10422_RNA__alpha	1
EG10423_RNA__alpha	1
EG10424_RNA__alpha	1
EG10425_RNA__alpha	1
EG10426_RNA__alpha	1
EG10427_RNA__FNR-4FE-4S-CPLX	0
EG10427_RNA__alpha	1
EG10428_RNA__alpha	1
EG10429_RNA__alpha	1
EG10430_RNA__alpha	1
EG10431_RNA__alpha	1
EG10432_RNA__alpha	1
EG10433_RNA__alpha	1
EG10434_RNA__alpha	1
EG10435_RNA__alpha	1
EG10436_RNA__alpha	1
EG10437_RNA__alpha	1
EG10438_RNA__alpha	1
EG10439_RNA__PHOSPHO-BASR	0
EG10439_RNA__alpha	1
EG10440_RNA__alpha	1
EG10441_RNA__PC00027	0
EG10441_RNA__alpha	1
EG10442_RNA__alpha	1
EG10443_RNA__alpha	1
EG10444_RNA__alpha	1
EG10445_RNA__alpha	1
EG10446_RNA__alpha	1
EG10447_RNA__alpha	1
EG10448_RNA__alpha	1
EG10449_RNA__alpha	1
EG10450_RNA__alpha	1
EG10451_RNA__alpha	1
EG10452_RNA__CPLX0-228	0
EG10452_RNA__alpha	1
EG10453_RNA__alpha	1
EG10454_RNA__alpha	1
EG10455_RNA__alpha	1
EG10456_RNA__FNR-4FE-4S-CPLX	0
EG10456_RNA__alpha	1
EG10457_RNA__alpha	1
EG10458_RNA__alpha	1
EG10459_RNA__alpha	1
EG10460_RNA__alpha	1
EG10461_RNA__alpha	1
EG10462_RNA__alpha	1
EG10463_RNA__alpha	1
EG10464_RNA__alpha	1
EG10465_RNA__alpha	1
EG10466_RNA__CPLX0-7705	0
EG10466_RNA__alpha	1
EG10467_RNA__alpha	1
EG10468_RNA__alpha	1
EG10469_RNA__alpha	1
EG10470_RNA__alpha	1
EG10471_RNA__alpha	1
EG10472_RNA__alpha	1
EG10473_RNA__alpha	1
EG10474_RNA__alpha	1
EG10475_RNA__alpha	1
EG10476_RNA__alpha	1
EG10477_RNA__alpha	1
EG10478_RNA__PC00027	0
EG10478_RNA__alpha	1
EG10479_RNA__alpha	1
EG10480_RNA__PC00027	0
EG10480_RNA__alpha	1
EG10481_RNA__PC00027	0
EG10481_RNA__alpha	1
EG10482_RNA__alpha	1
EG10483_RNA__PC00027	0
EG10483_RNA__alpha	1
EG10484_RNA__FNR-4FE-4S-CPLX	0
EG10484_RNA__alpha	1
EG10485_RNA__FNR-4FE-4S-CPLX	0
EG10485_RNA__alpha	1
EG10486_RNA__FNR-4FE-4S-CPLX	0
EG10486_RNA__alpha	1
EG10487_RNA__FNR-4FE-4S-CPLX	0
EG10487_RNA__alpha	1
EG10488_RNA__alpha	1
EG10489_RNA__PHOSPHO-ARCA	0
EG10489_RNA__alpha	1
EG10490_RNA__alpha	1
EG10491_RNA__alpha	1
EG10492_RNA__alpha	1
EG10493_RNA__alpha	1
EG10494_RNA__alpha	1
EG10495_RNA__alpha	1
EG10496_RNA__MONOMER0-155	0
EG10496_RNA__alpha	1
EG10497_RNA__PC00027	0
EG10497_RNA__MONOMER0-155	0
EG10497_RNA__alpha	1
EG10498_RNA__alpha	1
EG10499_RNA__MONOMER0-155	0
EG10499_RNA__alpha	1
EG10500_RNA__MONOMER0-155	0
EG10500_RNA__alpha	1
EG10501_RNA__MONOMER0-155	0
EG10501_RNA__alpha	1
EG10502_RNA__alpha	1
EG10503_RNA__alpha	1
EG10504_RNA__alpha	1
EG10505_RNA__alpha	1
EG10506_RNA__alpha	1
EG10507_RNA__alpha	1
EG10508_RNA__alpha	1
EG10509_RNA__alpha	1
EG10510_RNA__PHOSPHO-ARCA	0
EG10510_RNA__alpha	1
EG10511_RNA__alpha	1
EG10512_RNA__MONOMER0-155	0
EG10512_RNA__alpha	1
EG10513_RNA__alpha	1
EG10514_RNA__alpha	1
EG10515_RNA__alpha	1
EG10516_RNA__alpha	1
EG10517_RNA__alpha	1
EG10518_RNA__alpha	1
EG10519_RNA__alpha	1
EG10520_RNA__alpha	1
EG10521_RNA__alpha	1
EG10522_RNA__alpha	1
EG10523_RNA__alpha	1
EG10524_RNA__PD00288	0
EG10524_RNA__alpha	1
EG10525_RNA__alpha	1
EG10526_RNA__alpha	1
EG10527_RNA__PD00288	0
EG10527_RNA__alpha	1
EG10528_RNA__alpha	1
EG10529_RNA__alpha	1
EG10530_RNA__alpha	1
EG10531_RNA__CPLX0-7916	0
EG10531_RNA__PD00288	0
EG10531_RNA__alpha	1
EG10532_RNA__alpha	1
EG10533_RNA__alpha	1
EG10534_RNA__alpha	1
EG10535_RNA__alpha	1
EG10536_RNA__alpha	1
EG10537_RNA__alpha	1
EG10538_RNA__alpha	1
EG10539_RNA__MONOMER0-155	0
EG10539_RNA__alpha	1
EG10540_RNA__alpha	1
EG10541_RNA__alpha	1
EG10542_RNA__alpha	1
EG10543_RNA__PHOSPHO-ARCA	0
EG10543_RNA__alpha	1
EG10544_RNA__alpha	1
EG10545_RNA__alpha	1
EG10546_RNA__alpha	1
EG10547_RNA__PD00288	0
EG10547_RNA__alpha	1
EG10548_RNA__alpha	1
EG10549_RNA__CPLX0-7671	0
EG10549_RNA__alpha	1
EG10550_RNA__CPLX0-7671	0
EG10550_RNA__alpha	1
EG10551_RNA__alpha	1
EG10552_RNA__alpha	1
EG10553_RNA__alpha	1
EG10554_RNA__alpha	1
EG10555_RNA__alpha	1
EG10556_RNA__alpha	1
EG10557_RNA__alpha	1
EG10558_RNA__alpha	1
EG10559_RNA__alpha	1
EG10560_RNA__alpha	1
EG10561_RNA__alpha	1
EG10562_RNA__alpha	1
EG10563_RNA__alpha	1
EG10564_RNA__alpha	1
EG10565_RNA__alpha	1
EG10566_RNA__alpha	1
EG10567_RNA__alpha	1
EG10568_RNA__alpha	1
EG10569_RNA__alpha	1
EG10570_RNA__alpha	1
EG10571_RNA__alpha	1
EG10572_RNA__alpha	1
EG10573_RNA__alpha	1
EG10574_RNA__alpha	1
EG10575_RNA__alpha	1
EG10576_RNA__alpha	1
EG10577_RNA__alpha	1
EG10578_RNA__alpha	1
EG10579_RNA__alpha	1
EG10580_RNA__alpha	1
EG10581_RNA__CPLX0-7796	0
EG10581_RNA__alpha	1
EG10582_RNA__alpha	1
EG10583_RNA__CPLX0-7796	0
EG10583_RNA__alpha	1
EG10584_RNA__alpha	1
