MolName	MolCounts
ASPCARBREG-DIMER[c]	2
ASPCARBREG-MONOMER[c]	1
ASPCARBTRANS-CPLX[c]	1633
ASPKINIHOMOSERDEHYDROGI-CPLX[c]	592
ASPKINIHOMOSERDEHYDROGI-MONOMER[c]	0
ASPKINIIHOMOSERDEHYDROGII-CPLX[c]	103
ASPKINIIHOMOSERDEHYDROGII-MONOMER[c]	1
ASPKINIII-CPLX[c]	463
ASPKINIII-MONOMER[c]	1
ASPS-CPLX[c]	536
ASPS-MONOMER[c]	0
ATOA-MONOMER[c]	1
ATOD-MONOMER[c]	0
ATPA-CPLX[i]	803
ATPA-MONOMER[i]	1
ATPASE-1-CPLX[i]	0
MONOMER0-12[i]	0
EG10513-MONOMER[i]	0
KDPB-MONOMER[i]	6
EG10515-MONOMER[i]	19
ATPD-CPLX[i]	687
ATPD-MONOMER[i]	2
ATPE-CPLX[i]	254
ATPE-MONOMER[i]	8
ATPF-CPLX[i]	107
ATPF-MONOMER[i]	0
ATPSYN-CPLX[i]	593
F-O-CPLX[i]	462
F-1-CPLX[i]	0
B1-CPLX[c]	114
NRDA-MONOMER[c]	0
B2-CPLX[c]	0
NRDB-MONOMER[c]	0
BADH-CPLX[c]	20
BADH-MONOMER[c]	3
BETAGALACTOSID-CPLX[c]	0
BETAGALACTOSID-MONOMER[c]	2
BIOTIN-CARBOXYL-CPLX[c]	599
BIOTIN-CARBOXYL-MONOMER[c]	1
BIOTIN-SYN-CPLX[c]	423
BIOTIN-SYN-MONOMER[c]	0
BRANCHED-CHAINAMINOTRANSFER-CPLX[c]	209
BRANCHED-CHAINAMINOTRANSFER-MONOMER[c]	2
CARBODEHYDRAT-CPLX[c]	8
CARBODEHYDRAT-MONOMER[c]	0
CARBPSYN-CPLX[c]	821
CARBPSYN-LARGE[c]	0
CARBPSYN-SMALL[c]	143
CARNDEHYDRA-CPLX[c]	12
CARNDEHYDRA-MONOMER[c]	1
CFA-CPLX[i]	348
CFA-MONOMER[i]	0
CHEA-CPLX[i]	0
PROTEIN-CHEA[i]	1
CHEZ-CPLX[s]	850
CHEZ-MONOMER[s]	1
CHORISMUTPREPHENDEHYDRAT-CPLX[c]	1020
CHORISMUTPREPHENDEHYDRAT-MONOMER[c]	0
CHORISMUTPREPHENDEHYDROG-CPLX[c]	683
CHORISMUTPREPHENDEHYDROG-MONOMER[c]	1
CITLY-CPLX[c]	0
CITTRANS-CPLX[c]	0
CITRYLY-CPLX[c]	0
CITRATE-SI-SYNTHASE[c]	950
CITSYN-MONOMER[c]	5
CITRYLY-MONOMER[c]	3
CITTRANS-MONOMER[c]	1
COADTRI-CPLX[c]	18
PANTEPADENYLYLTRAN-MONOMER[c]	5
COBU-CPLX[c]	11
COBU-MONOMER[c]	0
CPLX-153[i]	7
ASCF-MONOMER[i]	0
CPLX-154[i]	33
BGLF-MONOMER[i]	1
CPLX-155[i]	12
CELC-MONOMER[c]	22
CELB-MONOMER[i]	0
CELA-MONOMER[c]	70
CPLX-156[i]	6
CMTB-MONOMER[c]	2
CMTA-MONOMER[i]	0
CPLX-157[i]	1300
PTSG-MONOMER[i]	1
CRR-MONOMER[i]	8516
CPLX-158[i]	32
FRUB-MONOMER[i]	45
FRUA-MONOMER[i]	1
CPLX-159[i]	1
FRVB-MONOMER[i]	0
FRVA-MONOMER[c]	3
CPLX-160[i]	3
FRWC-MONOMER[i]	0
FRWB-MONOMER[c]	3
EG11912-MONOMER[c]	14
EG11906-MONOMER[c]	0
CPLX-165[i]	332
MANZ-MONOMER[i]	440
MANY-MONOMER[i]	782
MANX-MONOMER[i]	0
CPLX-166[i]	44
MTLA-MONOMER[i]	0
CPLX-167[i]	74
NAGE-MONOMER[i]	1
CPLX-168[i]	7
TREB-MONOMER[i]	0
CPLX-169[i]	13
G8210-MONOMER[i]	8
GUTB-MONOMER[c]	0
GUTA-MONOMER[i]	10
CPLX-170[i]	2
AGAB-MONOMER[c]	0
AGAC-MONOMER[i]	2
AGAD-MONOMER[i]	9
CPLX-171[c]	1
G6277-MONOMER[c]	1
CPLX-3942[c]	25
G7712-MONOMER[c]	1
G7713-MONOMER[c]	4
G7714-MONOMER[c]	82
CPLX-3944[e]	91
EG10286-MONOMER[e]	0
EG10292-MONOMER[p]	289
CPLX-3945[s]	8
G6545-MONOMER[e]	60
G6543-MONOMER[s]	4
CPLX-3946[c]	206
EG11072-MONOMER[c]	0
EG11098-MONOMER[c]	792
