SimStep	Vol	Pseudo	total	Fast	act	Slow	inhib	input	output
0.088	1.0	6.022141e+23	3.4335639883708077e+17	2.4447671816298227e+17	1.023519523281837e+21	1.4380982999936902e+16	6.020702901700006e+19	3.011071e+20	0.0
0.096	1.0	6.022141e+23	3.550565176714603e+17	2.3342660591252336e+17	1.0235305733940874e+21	1.3730976416016284e+16	6.020767902358398e+19	3.011071e+20	0.0
0.104	1.0	6.022141e+23	3.466316841380447e+17	2.4138339315148048e+17	1.0235226166068485e+21	1.4199022710474778e+16	6.020721097728952e+19	3.011071e+20	0.0
0.112	1.0	6.022141e+23	3.526981211984262e+17	2.356539803629039e+17	1.023528346019637e+21	1.3861998438669834e+16	6.020754800156132e+19	3.011071e+20	0.0
0.12	1.0	6.022141e+23	3.4832989500136006e+17	2.39779527333516e+17	1.0235242204726664e+21	1.4104677665123868e+16	6.020730532233486e+19	3.011071e+20	0.0
0.128	1.0	6.022141e+23	3.514753047055647e+17	2.368088626080421e+17	1.0235271911373919e+21	1.3929932686393124e+16	6.020748006731359e+19	3.011071e+20	0.0
0.136	1.0	6.022141e+23	3.4921040572797856e+17	2.3894793386813357e+17	1.0235250520661317e+21	1.4055760403887764e+16	6.020735423959609e+19	3.011071e+20	0.0
0.144	1.0	6.022141e+23	3.508412812028962e+17	2.374076625837594e+17	1.0235265923374162e+21	1.3965156213344314e+16	6.020744484378663e+19	3.011071e+20	0.0
0.152	1.0	6.022141e+23	3.4966694482610464e+17	2.385167580525348e+17	1.0235254832419474e+21	1.4030397121360482e+16	6.020737960287862e+19	3.011071e+20	0.0
0.16	1.0	6.022141e+23	3.505125437254875e+17	2.3771813686848416e+17	1.0235262818631314e+21	1.3983419406028242e+16	6.020742658059395e+19	3.011071e+20	0.0
0.168	1.0	6.022141e+23	3.49903657467733e+17	2.3829319611285514e+17	1.0235257068038871e+21	1.4017246419411748e+16	6.0207392753580564e+19	3.011071e+20	0.0
0.176	1.0	6.022141e+23	3.503420953087774e+17	2.378791159289724e+17	1.0235261208840709e+21	1.3992888762250064e+16	6.020741711123772e+19	3.011071e+20	0.0
0.184	1.0	6.022141e+23	3.500263915007378e+17	2.3817728063705078e+17	1.0235258227193629e+21	1.4010427862211302e+16	6.020739957213776e+19	3.011071e+20	0.0
0.192	1.0	6.022141e+23	3.502537188351149e+17	2.3796258259867846e+17	1.0235260374174013e+21	1.3997798566206542e+16	6.020741220143377e+19	3.011071e+20	0.0
0.2	1.0	6.022141e+23	3.5009002833970074e+17	2.3811717917793238e+17	2.047528e+21	1.400689248236676e+16	6.02074031075176e+19	3.011071e+20	0.0
0.208	1.0	6.022141e+23	2.3812372739059222e+17	3.5009002833970074e+17	2.047528e+21	1.400034426970689e+16	6.020740965573027e+19	3.011071e+20	0.0
0.216	1.0	6.022141e+23	3.5456763772703066e+17	2.381237273905922e+17	2.047528e+21	9522734882377012.0	6.021188726511759e+19	3.011071e+20	0.0
0.224	1.0	6.022141e+23	2.3346599922157894e+17	3.5456763772703066e+17	2.047528e+21	1.418046305139026e+16	6.020722953694858e+19	3.011071e+20	0.0
0.232	1.0	6.022141e+23	3.594116596438691e+17	2.3346599922157894e+17	2.047528e+21	9336441134551776.0	6.021207355886541e+19	3.011071e+20	0.0
0.24	1.0	6.022141e+23	2.2842820259069382e+17	3.594116596438691e+17	2.047528e+21	1.4374237765436904e+16	6.020703576223452e+19	3.011071e+20	0.0
0.248	1.0	6.022141e+23	3.6465095009348954e+17	2.2842820259069382e+17	2.047528e+21	9134947315816446.0	6.021227505268414e+19	3.011071e+20	0.0
0.256	1.0	6.022141e+23	2.229793242074126e+17	3.6465095009348954e+17	2.047528e+21	1.4583825699097666e+16	6.020682617430086e+19	3.011071e+20	0.0
0.264	1.0	6.022141e+23	3.703177626333509e+17	2.229793242074126e+17	2.047528e+21	8917013159236289.0	6.021249298684072e+19	3.011071e+20	0.0
0.272	1.0	6.022141e+23	2.1708581994055338e+17	3.703177626333509e+17	2.047528e+21	1.4810517426095548e+16	6.020659948257386e+19	3.011071e+20	0.0
0.28	1.0	6.022141e+23	3.764469826726603e+17	2.1708581994055338e+17	2.047528e+21	8681297386786180.0	6.021272870261317e+19	3.011071e+20	0.0
0.288	1.0	6.022141e+23	2.1071140845902912e+17	3.7644698267266035e+17	2.047528e+21	1.5055708868310416e+16	6.020635429113165e+19	3.011071e+20	0.0
0.296	1.0	6.022141e+23	3.8307634222664794e+17	2.107114084590291e+17	2.047528e+21	8426349314322858.0	6.021298365068563e+19	3.011071e+20	0.0
0.304	1.0	6.022141e+23	2.0381684787470938e+17	3.8307634222664794e+17	2.047528e+21	1.5320909898642592e+16	6.020608909010131e+19	3.011071e+20	0.0
0.312	1.0	6.022141e+23	3.902466521941541e+17	2.038168478747094e+17	2.047528e+21	8150599931136371.0	6.021325940006882e+19	3.011071e+20	0.0
0.32	1.0	6.022141e+23	1.9635969415891597e+17	3.902466521941541e+17	2.047528e+21	1.5607753646929804e+16	6.020580224635303e+19	3.011071e+20	0.0
0.328	1.0	6.022141e+23	3.980020535882922e+17	1.9635969415891597e+17	2.047528e+21	7852352252791731.0	6.021355764774716e+19	3.011071e+20	0.0
0.336	1.0	6.022141e+23	1.8829403984519885e+17	3.980020535882922e+17	2.047528e+21	1.5918006566508858e+16	6.020549199343345e+19	3.011071e+20	0.0
0.344	1.0	6.022141e+23	4.063902892666365e+17	1.8829403984519885e+17	2.047528e+21	7529770888164612.0	6.021388022911179e+19	3.011071e+20	0.0
0.352	1.0	6.022141e+23	1.795702314096546e+17	4.0639028926663654e+17	2.047528e+21	1.6253579323708844e+16	6.020515642067625e+19	3.011071e+20	0.0
0.36	1.0	6.022141e+23	4.154629978335584e+17	1.7957023140965456e+17	2.047528e+21	7180870756787032.0	6.021422912924317e+19	3.011071e+20	0.0
0.368	1.0	6.022141e+23	1.7013456358875926e+17	4.154629978335584e+17	2.047528e+21	1.6616538577682328e+16	6.020479346142228e+19	3.011071e+20	0.0
0.376	1.0	6.022141e+23	4.252760315237942e+17	1.7013456358875926e+17	2.047528e+21	6803504887446566.0	6.021460649511251e+19	3.011071e+20	0.0
0.384	1.0	6.022141e+23	1.5992894875268134e+17	4.252760315237942e+17	2.047528e+21	1.7009119723524456e+16	6.020440088027643e+19	3.011071e+20	0.0
0.392	1.0	6.022141e+23	4.358898000239239e+17	1.599289487526813e+17	2.047528e+21	6395351223394730.0	6.021501464877656e+19	3.011071e+20	0.0
0.4	1.0	6.022141e+23	1.4889055929844234e+17	4.358898000239239e+17	2.047528e+21	1.743374067763367e+16	6.0203976259322315e+19	3.011071e+20	0.0
0.408	1.0	6.022141e+23	4.473696423480728e+17	1.4889055929844234e+17	2.047528e+21	5953898353484652.0	6.021545610164647e+19	3.011071e+20	0.0
0.416	1.0	6.022141e+23	1.3695144086115763e+17	4.473696423480728e+17	2.047528e+21	1.7893016790769318e+16	6.020351698320918e+19	3.011071e+20	0.0
0.424	1.0	6.022141e+23	4.5978622905680294e+17	1.3695144086115757e+17	2.047528e+21	5476430082039210.0	6.021593356991791e+19	3.011071e+20	0.0
0.432	1.0	6.022141e+23	1.2403809396189267e+17	4.5978622905680294e+17	2.047528e+21	1.838977698130411e+16	6.020302022301865e+19	3.011071e+20	0.0
0.44	1.0	6.022141e+23	4.732159972948958e+17	1.2403809396189267e+17	2.047528e+21	4960008743211248.0	6.021644999125674e+19	3.011071e+20	0.0
0.448	1.0	6.022141e+23	1.1007102151630554e+17	4.732159972948958e+17	2.047528e+21	1.892708118879834e+16	6.020248291881116e+19	3.011071e+20	0.0
0.456	1.0	6.022141e+23	4.8774162132569805e+17	1.1007102151630554e+17	2.047528e+21	4401457157996074.0	6.021700854284196e+19	3.011071e+20	0.0
0.464	1.0	6.022141e+23	9.496423941801382e+16	4.87741621325698e+17	2.047528e+21	1.950823925628784e+16	6.020190176074367e+19	3.011071e+20	0.0
0.472	1.0	6.022141e+23	5.034525214581357e+17	9.496423941801389e+16	2.047528e+21	3797339123850130.0	6.021761266087611e+19	3.011071e+20	0.0
0.48	1.0	6.022141e+23	7.862474718323046e+16	5.034525214581357e+17	2.047528e+21	2.0136831358633556e+16	6.020127316864133e+19	3.011071e+20	0.0
0.488	1.0	6.022141e+23	5.204454144987581e+17	7.862474718323046e+16	2.047528e+21	3143938318011138.0	6.021826606168195e+19	3.011071e+20	0.0
0.496	1.0	6.022141e+23	6.095195539725581e+16	5.204454144987581e+17	2.047528e+21	2.0816730103985816e+16	6.020059326989598e+19	3.011071e+20	0.0
0.504	1.0	6.022141e+23	5.388249091166894e+17	6.095195539725581e+16	2.0479874934591015e+21	2437235486054496.0	6.021897276451391e+19	3.011071e+20	0.0
0.512	1.0	6.022141e+23	4.183706643737472e+16	5.388249091166894e+17	2.047509620505382e+21	2.155212444593557e+16	6.019985787555403e+19	3.011071e+20	0.0
