MolName	MolTotalCounts	MolRequestedCounts
ASNSYNB-MONOMER[c]	0	0
ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX[c]	3215	0
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER[c]	0	0
ASPAMINOTRANS-DIMER[c]	3479	0
ASPAMINOTRANS-MONOMER[c]	0	0
ASPARTASE-CPLX[c]	20	0
ASPARTASE-MONOMER[c]	2	0
ASPCARBCAT-TRIMER[c]	312	0
ASPCARBCAT-MONOMER[c]	2	0
ASPCARBREG-DIMER[c]	2	0
ASPCARBREG-MONOMER[c]	1	0
ASPCARBTRANS-CPLX[c]	1633	0
ASPKINIHOMOSERDEHYDROGI-CPLX[c]	592	0
ASPKINIHOMOSERDEHYDROGI-MONOMER[c]	0	0
ASPKINIIHOMOSERDEHYDROGII-CPLX[c]	103	0
ASPKINIIHOMOSERDEHYDROGII-MONOMER[c]	1	0
ASPKINIII-CPLX[c]	463	0
ASPKINIII-MONOMER[c]	1	0
ASPS-CPLX[c]	536	0
ASPS-MONOMER[c]	0	0
ATOA-MONOMER[c]	1	0
ATOD-MONOMER[c]	0	0
ATPA-CPLX[i]	803	0
ATPA-MONOMER[i]	1	0
ATPASE-1-CPLX[i]	0	0
MONOMER0-12[i]	0	0
EG10513-MONOMER[i]	0	0
KDPB-MONOMER[i]	6	0
EG10515-MONOMER[i]	19	0
ATPD-CPLX[i]	687	0
ATPD-MONOMER[i]	2	0
ATPE-CPLX[i]	254	0
ATPE-MONOMER[i]	8	0
ATPF-CPLX[i]	107	0
ATPF-MONOMER[i]	0	0
ATPSYN-CPLX[i]	593	0
F-O-CPLX[i]	462	0
F-1-CPLX[i]	0	0
B1-CPLX[c]	114	0
NRDA-MONOMER[c]	0	0
B2-CPLX[c]	0	0
NRDB-MONOMER[c]	0	0
BADH-CPLX[c]	20	0
BADH-MONOMER[c]	3	0
BETAGALACTOSID-CPLX[c]	0	0
BETAGALACTOSID-MONOMER[c]	2	0
BIOTIN-CARBOXYL-CPLX[c]	599	0
BIOTIN-CARBOXYL-MONOMER[c]	1	0
BIOTIN-SYN-CPLX[c]	423	0
BIOTIN-SYN-MONOMER[c]	0	0
BRANCHED-CHAINAMINOTRANSFER-CPLX[c]	209	0
BRANCHED-CHAINAMINOTRANSFER-MONOMER[c]	2	0
CARBODEHYDRAT-CPLX[c]	8	0
CARBODEHYDRAT-MONOMER[c]	0	0
CARBPSYN-CPLX[c]	821	0
CARBPSYN-LARGE[c]	0	0
CARBPSYN-SMALL[c]	143	0
CARNDEHYDRA-CPLX[c]	12	0
CARNDEHYDRA-MONOMER[c]	1	0
CFA-CPLX[i]	348	0
CFA-MONOMER[i]	0	0
CHEA-CPLX[i]	0	0
PROTEIN-CHEA[i]	1	0
CHEZ-CPLX[s]	850	0
CHEZ-MONOMER[s]	1	0
CHORISMUTPREPHENDEHYDRAT-CPLX[c]	1020	0
CHORISMUTPREPHENDEHYDRAT-MONOMER[c]	0	0
CHORISMUTPREPHENDEHYDROG-CPLX[c]	683	0
CHORISMUTPREPHENDEHYDROG-MONOMER[c]	1	0
CITLY-CPLX[c]	0	0
CITTRANS-CPLX[c]	0	0
CITRYLY-CPLX[c]	0	0
CITRATE-SI-SYNTHASE[c]	950	0
CITSYN-MONOMER[c]	5	0
CITRYLY-MONOMER[c]	3	0
CITTRANS-MONOMER[c]	1	0
COADTRI-CPLX[c]	18	0
PANTEPADENYLYLTRAN-MONOMER[c]	5	0
COBU-CPLX[c]	11	0
COBU-MONOMER[c]	0	0
CPLX-153[i]	7	0
ASCF-MONOMER[i]	0	0
CPLX-154[i]	33	0
BGLF-MONOMER[i]	1	0
CPLX-155[i]	12	0
CELC-MONOMER[c]	22	0
CELB-MONOMER[i]	0	0
CELA-MONOMER[c]	70	0
CPLX-156[i]	6	0
CMTB-MONOMER[c]	2	0
CMTA-MONOMER[i]	0	0
CPLX-157[i]	1300	0
PTSG-MONOMER[i]	1	0
CRR-MONOMER[i]	8516	0
