Object ID	Transporters	Gene	Reactions	Reaction-Direction	GO terms (molecular function)	GO terms (cellular component)	GO terms (biological process)
TRANS-RXN-242 // TRANS-RXN0-0244	EG12134-MONOMER	EG12134	TRANS-RXN-242 // TRANS-RXN0-0244	REVERSIBLE	GO:0042970 // GO:0015291 // GO:0015565	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0055085 // GO:0006865 // GO:0042968 // GO:0015826
TRANS-RXN-106 // TRANS-RXN-106B // TRANS-RXN-106A // TRANS-RXN-299 // TRANS-RXN0-499	DCUB-MONOMER	EG10006	TRANS-RXN-106 // TRANS-RXN-106B // TRANS-RXN-106A // TRANS-RXN-299 // TRANS-RXN0-499	REVERSIBLE	GO:0005515 // GO:0005469 // GO:0015556	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0071422 // GO:0015741 // GO:0009061 // GO:0015740
TRANS-RXN-130	NHAB-MONOMER	EG11392	TRANS-RXN-130	REVERSIBLE	GO:0015297 // GO:0015081 // GO:0015385	GO:0016020 // GO:0016021 // GO:0005887 // GO:0005886	GO:0035725 // GO:0010226 // GO:0006814 // GO:0006811
TRANS-RXN0-281	EG11671-MONOMER	EG11671	TRANS-RXN0-281	LEFT-TO-RIGHT		GO:0016021 // GO:0016020 // GO:0005886	
RXN0-1924 // RXN0-1923	EG12445-MONOMER	EG12445	RXN0-1924 // RXN0-1923	LEFT-TO-RIGHT	GO:0015171 // GO:0015562	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0006865 // GO:0033228
RXN0-16 // RXN0-14 // RXN0-12 // RXN0-10 // TRANS-RXN-8 // TRANS-RXN-141A	EG11167-MONOMER	EG11167	RXN0-16 // RXN0-14 // RXN0-12 // RXN0-10 // TRANS-RXN-8 // TRANS-RXN-141A	LEFT-TO-RIGHT	GO:0005385 // GO:0046873 // GO:0015086 // GO:0015093 // GO:0005375 // GO:0015087 // GO:0005384	GO:0016020 // GO:0016021 // GO:0005886	GO:0071577 // GO:0035434 // GO:0034755 // GO:0071421 // GO:0055085 // GO:0030001 // GO:0006811 // GO:0006829 // GO:0006824 // GO:0070574
TRANS-RXN-22	GLPT-MONOMER	EG10401	TRANS-RXN-22	REVERSIBLE	GO:0022857 // GO:0015169 // GO:0015527 // GO:0015315	GO:0016021 // GO:0016020 // GO:0005886	GO:0035435 // GO:0055085 // GO:0006071 // GO:0015794 // GO:0015793
TRANS-RXN0-227	YJIZ-MONOMER	EG12587	TRANS-RXN0-227	REVERSIBLE	GO:0022857	GO:0016021 // GO:0016020 // GO:0005886	GO:0008643 // GO:0055085 // GO:0042873
TRANS-RXN-82	B0070-MONOMER	EG11754	TRANS-RXN-82	REVERSIBLE	GO:0022857 // GO:0005351	GO:0016020 // GO:0016021 // GO:0005887 // GO:0005886	GO:1904659 // GO:1902600 // GO:0008643 // GO:0055085 // GO:0015767 // GO:0034219 // GO:0036448
TRANS-RXN-42 // TRANS-RXN-101	CHAA-MONOMER	EG11753	TRANS-RXN-42 // TRANS-RXN-101	REVERSIBLE // LEFT-TO-RIGHT	GO:0015297 // GO:0008324 // GO:0015386 // GO:0015385	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005887	GO:0098656 // GO:0098655 // GO:0071805 // GO:0055085 // GO:0035725 // GO:0030007 // GO:0006883 // GO:0006812 // GO:0006811 // GO:0010446
RXN0-2542	G6657-MONOMER	G6657	RXN0-2542	LEFT-TO-RIGHT	GO:0015288 // GO:0015478 // GO:0015481	GO:0016021 // GO:0016020 // GO:0046930 // GO:0009279 // GO:0045203	GO:0015772 // GO:0015768 // GO:0006811 // GO:0034219
RXN0-2481	G6700-MONOMER	G6700	RXN0-2481	REVERSIBLE	GO:0015288	GO:0046930 // GO:0016021 // GO:0016020 // GO:0009279	GO:0034220 // GO:0006811 // GO:0034219
TRANS-RXN-98	UIDB-MONOMER	EG11658	TRANS-RXN-98	REVERSIBLE	GO:0022857 // GO:0015293	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0071702 // GO:0055085 // GO:0008643 // GO:0006814
TRANS-RXN-31	XAPB-MONOMER	EG13159	TRANS-RXN-31	REVERSIBLE	GO:0022857 // GO:0015213 // GO:0015212 // GO:0005337 // GO:0015553	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0071702 // GO:0055085 // GO:0015862 // GO:0015861 // GO:1901642 // GO:0015863 // GO:0015858 // GO:0055086
TRANS-RXN-335	EG10167-MONOMER	EG10167	TRANS-RXN-335	REVERSIBLE	GO:0005477	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0006849 // GO:0031669 // GO:0015833 // GO:0015031 // GO:0009267
TRANS-RXN-121 // TRANS-RXN-122A // TRANS-RXN0-553	YCHM-MONOMER	EG12392	TRANS-RXN-121 // TRANS-RXN-122A // TRANS-RXN0-553	REVERSIBLE	GO:0015116 // GO:0008271 // GO:0015183 // GO:0015141 // GO:0015138	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0070778 // GO:1902358 // GO:0055085 // GO:0008272 // GO:0015810 // GO:0071422 // GO:0015741
TRANS-RXN-57 // TRANS-RXN-384	GABP-MONOMER	EG11330	TRANS-RXN-57 // TRANS-RXN-384	REVERSIBLE	GO:0015291 // GO:0015185	GO:0016020 // GO:0005886 // GO:0016021	GO:0055085 // GO:0009450 // GO:0006974 // GO:0006865 // GO:0006995 // GO:0090549 // GO:0015812
RXN-22217	G7097-MONOMER	G7097	RXN-22217	PHYSIOL-LEFT-TO-RIGHT		GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0009103 // GO:0009242
TRANS-RXN0-288 // TRANS-RXN0-267	B1634-MONOMER	G6877	TRANS-RXN0-288 // TRANS-RXN0-267	REVERSIBLE	GO:1904680 // GO:0022857 // GO:0015078 // GO:0071916 // GO:0015333 // GO:0042937	GO:0016020 // GO:0016021 // GO:0005887 // GO:0005886	GO:0042939 // GO:0042938 // GO:0055085 // GO:0015833 // GO:0015031 // GO:0006857 // GO:1902600 // GO:0035443 // GO:0035442
